ID,NAME,GENERIC_NAME,COMPANY_NAME,SHORT_DESCRIPTION,PRICE,LONG_DESCRIPTION,IN_STOCK
146,CareOne Pain Relief,Acetaminophen,American Sales Company,Metabolic disorders following an ectopic and molar pregnancy,513,Metabolic disorders following an ectopic and molar pregnancy,false
147,REYATAZ,ATAZANAVIR SULFATE,"Physicians Total Care, Inc.","Nondisp fx of unsp tibial tuberosity, 7thQ",102,"Nondisplaced fracture of unspecified tibial tuberosity, subsequent encounter for open fracture type I or II with malunion",false
148,Clario Instant Hand Sanitizer,Alcohol,"Betco Corporation, Ltd.","Unsp injury of unsp musc/tend at lower leg level, right leg",38,"Unspecified injury of unspecified muscle(s) and tendon(s) at lower leg level, right leg",false
149,Hydrochlorothiazide,Hydrochlorothiazide,"Golden State Medical Supply, Inc",Other disorders of phosphorus metabolism,380,Other disorders of phosphorus metabolism,true
150,Watermelon,Watermelon,"Nelco Laboratories, Inc.","Congenital malformation of heart, unspecified",58,"Congenital malformation of heart, unspecified",true
151,String Beans,String Beans,"Nelco Laboratories, Inc.",Displacement of ventricular intracranial shunt,103,Displacement of ventricular intracranial (communicating) shunt,false
152,Povidone-Iodine,Povidone-Iodine,"Jiangsu Province JianErKang Medical Dressing Co. ,Ltd.","Burn due to sailboat on fire, subsequent encounter",346,"Burn due to sailboat on fire, subsequent encounter",false
153,stool softener,DOCUSATE CALCIUM,CVS Pharmacy,"Unspecified inflammatory spondylopathy, site unspecified",536,"Unspecified inflammatory spondylopathy, site unspecified",true
154,Metoclopramide,Metoclopramide,"Preferred Pharmaceuticals, Inc.",Subluxation of unsp interphalangeal joint of l mid finger,322,Subluxation of unspecified interphalangeal joint of left middle finger,true
155,Divalproex sodium,Divalproex sodium,TYA Pharmaceuticals,"Unsp physeal fracture of lower end radius, left arm, sequela",333,"Unspecified physeal fracture of lower end of radius, left arm, sequela",true
156,Coconut,Coconut,"Nelco Laboratories, Inc.","Pasngr in 3-whl mv inj pk-up truck, pk-up/van in traf, sqla",448,"Passenger in three-wheeled motor vehicle injured in collision with car, pick-up truck or van in traffic accident, sequela",false
157,Mometasone Furoate,mometasone furoate,"E. Fougera & CO., A division of Fougera Pharmaceuticals Inc.","Injury of optic tract and pathways, unspecified eye, sequela",451,"Injury of optic tract and pathways, unspecified eye, sequela",false
158,Lidocaine Hydrochloride and Epinephrine,lidocaine hydrochloride anhydrous and epinephrine,Cardinal Health,"Driver of sp off-rd mv injured nontraf, sequela",442,"Driver of other special all-terrain or other off-road motor vehicle injured in nontraffic accident, sequela",true
159,Morphine Sulfate,Morphine Sulfate,Par Pharmaceutical Inc.,"Unsp fx unsp forearm, subs for opn fx type I/2 w delay heal",553,"Unspecified fracture of unspecified forearm, subsequent encounter for open fracture type I or II with delayed healing",true
160,Nectarine,Nectarine,"Nelco Laboratories, Inc.",Nasal mucositis (ulcerative),303,Nasal mucositis (ulcerative),false
161,Health Mart Multi-Symptom Cold and Flu Night Time,"ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, DOXYLAMINE SUCCINATE",McKesson (Health Mart),"Diffuse large B-cell lymphoma, extrnod and solid organ sites",574,"Diffuse large B-cell lymphoma, extranodal and solid organ sites",true
162,CORTEF,hydrocortisone,Pharmacia and Upjohn Company,"Unspecified injury of celiac artery, initial encounter",139,"Unspecified injury of celiac artery, initial encounter",false
163,Ranitidine Hydrochloride,Ranitidine Hydrochloride,Bryant Ranch Prepack,"Rheumatoid bursitis, unspecified hip",516,"Rheumatoid bursitis, unspecified hip",true
164,PENICILLIUM CHRYSOGENUM VAR CHRYSOGENUM,PENICILLIUM CHRYSOGENUM,"ALK-Abello, Inc.","Malar fracture, right side, 7thB",30,"Malar fracture, right side, initial encounter for open fracture",false
165,Extra Strength Rapid Release Acetaminophen PM,Acetaminophen and Diphenhydramine HCl,COSTCO WHOLESALE CORPORATION,Stage 1 necrotizing enterocolitis,529,Stage 1 necrotizing enterocolitis,false
166,Carvedilol,Carvedilol,REMEDYREPACK INC.,Contact with hotplate,303,Contact with hotplate,true
167,Nitrogen,Nitrogen,Specialty Gases of America,"Nondisp fx of greater tuberosity of left humerus, init",359,"Nondisplaced fracture of greater tuberosity of left humerus, initial encounter for closed fracture",true
168,Australian Gold,"Avobenzone, Homosalate, Octisalate, Octocrylene and Oxybenzone","Prime Packaging, Inc.","Lac w/o fb of l bk wl of thorax w/o penet thor cavity, subs",42,"Laceration without foreign body of left back wall of thorax without penetration into thoracic cavity, subsequent encounter",true
169,MISOPROSTOL,MISOPROSTOL,"Apotheca, Inc.","Displ osteochon fx r patella, 7thN",458,"Displaced osteochondral fracture of right patella, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",true
170,Wal-Finite,Chlorpheniramine Maleate,WALGREEN CO.,Osteochndrdys w defects of growth of tubular bones and spine,241,Osteochondrodysplasia with defects of growth of tubular bones and spine,true
171,Cefepime,CEFEPIME,Apotex Corporation,"Other cause of strike by thrown, projected or falling object",322,"Other cause of strike by thrown, projected or falling object",false
172,Heavy Duty Hand Cleaner,CHLOROXYLENOL,"MPI Chemicals, Inc.","Legal intervnt w unsp sharp obj, law enforc offl inj, subs",158,"Legal intervention involving unspecified sharp objects, law enforcement official injured, subsequent encounter",true
173,Felodipine,Felodipine,"NCS HealthCare of KY, Inc dba Vangard Labs","Matern care for oth or susp poor fetl grth, unsp tri, fts3",440,"Maternal care for other known or suspected poor fetal growth, unspecified trimester, fetus 3",true
174,Spearmint,Spearmint,"Nelco Laboratories, Inc.","Partial loss of teeth, unspecified cause, class I",566,"Partial loss of teeth, unspecified cause, class I",false
175,Amlodipine besylate and Atorvastatin calcium,Amlodipine besylate and Atorvastatin calcium,Dr. Reddy's Laboratories Inc,"Strain extn musc/fasc/tend r mid finger at wrs/hnd lv, init",150,"Strain of extensor muscle, fascia and tendon of right middle finger at wrist and hand level, initial encounter",false
176,Pilocarpine Hydrochloride,Pilocarpine Hydrochloride,"Physicians Total Care, Inc.","Dislocation of T3/T4 thoracic vertebra, initial encounter",68,"Dislocation of T3/T4 thoracic vertebra, initial encounter",false
177,Kaiser Permanente,Tolnaftate,Kaiser Foundations Hospitals,"Disp fx of posterior process of right talus, init for opn fx",573,"Displaced fracture of posterior process of right talus, initial encounter for open fracture",false
178,Baclofen,Baclofen,Rebel Distributors Corp,Burn unsp degree of unsp single finger (nail) except thumb,4,Burn of unspecified degree of unspecified single finger (nail) except thumb,false
179,Ofloxacin,Ofloxacin,Rebel Distributors Corp,"Idiopathic chronic gout, right shoulder, with tophus (tophi)",42,"Idiopathic chronic gout, right shoulder, with tophus (tophi)",false
180,Timewise Day Solution sunscreen SPF 35,"Homosalate,Octisalate,Oxybenzone,Octocrylene,Avobenzone",Mary Kay Inc.,Carpal tunnel syndrome,166,Carpal tunnel syndrome,false
181,REYATAZ,ATAZANAVIR SULFATE,REMEDYREPACK INC.,"Asphyxiation due to unspecified cause, subsequent encounter",325,"Asphyxiation due to unspecified cause, subsequent encounter",true
182,CRESTOR,Rosuvastatin calcium,Carilion Materials Management,"Unsp superficial injury of left middle finger, init encntr",75,"Unspecified superficial injury of left middle finger, initial encounter",false
183,SEROQUEL,Quetiapine fumarate,"Physicians Total Care, Inc.","Spinal enthesopathy, site unspecified",430,"Spinal enthesopathy, site unspecified",false
184,Anti-bacterial Lemon Drop Hand,Triclosan,"BB17, LLC",Neonatal jaundice due to bleeding,115,Neonatal jaundice due to bleeding,true
185,Hydroxyzine Hydrochloride,Hydroxyzine Hydrochloride,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,"Nondisp fx of dist phalanx of l great toe, 7thG",287,"Nondisplaced fracture of distal phalanx of left great toe, subsequent encounter for fracture with delayed healing",true
186,MANGO BEBE LIP CARE,"OCTINOXATE, OCTISALATE","NATURE REPUBLIC CO., LTD.","Separation of muscle (nontraumatic), left hand",6,"Separation of muscle (nontraumatic), left hand",true
187,BareMinerals Golden Dark matte,Titanium Dioxide and Zinc Oxide,Bare Escentuals Beauty Inc.,"Oth fracture of unsp pubis, subs for fx w delay heal",167,"Other specified fracture of unspecified pubis, subsequent encounter for fracture with delayed healing",false
188,Treatment Set TS329526,Treatment Set TS329526,"Antigen Laboratories, Inc.","Displ transverse fx shaft of r femr, 7thQ",518,"Displaced transverse fracture of shaft of right femur, subsequent encounter for open fracture type I or II with malunion",false
189,Amoxicillin,Amoxicillin,Rebel Distributors Corp.,"Minor laceration of inferior vena cava, sequela",258,"Minor laceration of inferior vena cava, sequela",true
190,Levobunolol Hydrochloride,Levobunolol Hydrochloride,Sandoz Inc,Complete rotatr-cuff tear/ruptr not specified as traumatic,299,Complete rotator cuff tear or rupture not specified as traumatic,false
191,Sotalol Hydrochloride,Sotalol Hydrochloride,Carilion Materials Management,"Oth fx left patella, subs for opn fx type I/2 w delay heal",505,"Other fracture of left patella, subsequent encounter for open fracture type I or II with delayed healing",true
192,Losartan Potassium,Losartan Potassium,Legacy Pharmaceutical Packaging,"Ped on rolr-skt injured in clsn w pedl cyc nontraf, init",142,"Pedestrian on roller-skates injured in collision with pedal cycle in nontraffic accident, initial encounter",false
193,Wart Control,"CALENDULA OFFICINALIS FLOWERING TOP, PHYTOLACCA AMERICANA ROOT, and THUJA OCCIDENTALIS LEAFY TWIG",Forces of Nature,Varicos vn unsp low extrm w ulc of unsp site and inflam,345,Varicose veins of unspecified lower extremity with both ulcer of unspecified site and inflammation,false
194,Myorisan,isotretinoin,VersaPharm Incorporated,Underdosing of antineoplastic and immunosuppressive drugs,471,Underdosing of antineoplastic and immunosuppressive drugs,true
195,METHADONE HYDROCHLORIDE,METHADONE HYDROCHLORIDE,"Blenheim Pharmacal, Inc.","Oth injury of plantar artery of right foot, sequela",280,"Other specified injury of plantar artery of right foot, sequela",true
196,Sertraline Hydrochloride,sertraline hydrochloride,Mylan Institutional Inc.,"Unsp physeal fx upper end of humerus, right arm, sequela",186,"Unspecified physeal fracture of upper end of humerus, right arm, sequela",true
197,"Fentanyl Citrate, Bupivacaine HCl","Fentanyl Citrate, Bupivacaine HCl",Cantrell Drug Company,"Unspecified injury of ear, sequela",265,"Unspecified injury of ear, sequela",false
198,FLUZONE QUADRIVALENT,"INFLUENZA A VIRUS A/CALIFORNIA/7/2009 X-179A (H1N1) ANTIGEN (FORMALDEHYDE INACTIVATED), INFLUENZA A VIRUS A/TEXAS/50/2012 X-223A (H3N2) ANTIGEN (FORMALDEHYDE INACTIVATED), INFLUENZA B VIRUS B/MASSACHUSETTS/2/2012 BX-51B ANTIGEN (FORMALDEHYDE INACTIVATED), and INFLUENZA B VIRUS B/BRISBANE/60/2008 ANTIGEN (FORMALDEHYDE INACTIVATED)",Sanofi Pasteur Inc.,"Disp fx of neck of third MC bone, left hand, init for opn fx",290,"Displaced fracture of neck of third metacarpal bone, left hand, initial encounter for open fracture",true
199,Liquid Oxygen,Liquid Oxygen,Community Home Health Services,Exposure to uncontrolled fire in building or structure,549,Exposure to uncontrolled fire in building or structure,true
200,Sodium Fluoride F 18,Sodium Fluoride F-18,"Triad Isotopes, Inc.",Other congenital malformations of gallbladder,326,Other congenital malformations of gallbladder,true
201,Zolpidem Tartrate,zolpidem tartrate,"Preferred Pharmaceuticals, Inc.","Toxic effect of contact w oth venom plant, assault, sequela",59,"Toxic effect of contact with other venomous plant, assault, sequela",false
202,Creon,Pancrelipase,"Physicians Total Care, Inc.","Lacerat muscles and tendons at ank/ft level, left foot, init",116,"Laceration of other specified muscles and tendons at ankle and foot level, left foot, initial encounter",true
203,Badger Unscented SPF 15 Sunscreen,ZINC OXIDE,"W.S. Badger Company, Inc.","Oth fx shaft of left fibula, subs for clos fx w delay heal",361,"Other fracture of shaft of left fibula, subsequent encounter for closed fracture with delayed healing",true
204,Lisinopril and Hydrochlorothiazide,Lisinopril and Hydrochlorothiazide,REMEDYREPACK INC.,"Oth diab with prolif diabetic rtnop with macular edema, bi",245,"Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral",true
205,Antimicrobial Hand Wash,Chloroxylenol,"Henry Schein, Inc.","Laceration w/o fb of unsp external genital organs, male",404,"Laceration without foreign body of unspecified external genital organs, male",true
206,Buspirone HCl,Buspirone hydrochloride,American Health Packaging,"Other specified effects of reduced temperature, init encntr",303,"Other specified effects of reduced temperature, initial encounter",false
207,Clean Force,Triclosan,Ecolab Inc.,"Asphyx d/t being trap in a (discarded) refrig, slf-hrm, sqla",441,"Asphyxiation due to being trapped in a (discarded) refrigerator, intentional self-harm, sequela",true
208,Exchange Select Lansoprazole,Lansoprazole,Army & Air Force Exchange Service,Excessive horizontal overlap,84,Excessive horizontal overlap,false
209,Sheer Confidence Antiperspirant Deodorant,Aluminum zirconium tetrachlorohydrex gly (19% Anhydrous),Melaleuca Inc.,Commercial fixed-wing aircraft collision injuring occupant,117,Commercial fixed-wing aircraft collision injuring occupant,false
210,Night Time Cherry,"DEXTROMETHORPHAN HYDROBROMIDE, DOXYLAMINE SUCCINATE",CVS,Displaced dome fracture of left talus,177,Displaced dome fracture of left talus,true
211,SEPHORA Skin Perfect CC Sunscreen Broad Spectrum SPF 20 MEDIUM,"TITANIUM DIOXIDE, ZINC OXIDE",S+,"Nondisp oth extrartic fracture of unsp calcaneus, sequela",185,"Nondisplaced other extraarticular fracture of unspecified calcaneus, sequela",true
212,Illuminating Mineral Beauty Balm with SPF 9,Titanium Dioxide,Mineral Fusion Natural Brands LLC,Unspecified entropion of right upper eyelid,360,Unspecified entropion of right upper eyelid,false
213,Ribasphere,Ribavirin,REMEDYREPACK INC.,"Posterior sublux of proximal end of tibia, right knee, subs",339,"Posterior subluxation of proximal end of tibia, right knee, subsequent encounter",true
214,Potassium Chloride in Dextrose and Sodium Chloride,"Potassium Chloride, Dextrose Monohydrate and Sodium Chloride",Baxter Healthcare Corporation,"Nondisp artic fx head of r femr, 7thG",568,"Nondisplaced articular fracture of head of right femur, subsequent encounter for closed fracture with delayed healing",true
215,METOPROLOL SUCCINATE,METOPROLOL SUCCINATE,"International Labs, Inc.","Displ seg fx shaft of rad, r arm, 7thQ",69,"Displaced segmental fracture of shaft of radius, right arm, subsequent encounter for open fracture type I or II with malunion",true
216,Ibuprofen,Ibuprofen,"PD-Rx Pharmaceuticals, Inc.",Problems related to employment and unemployment,113,Problems related to employment and unemployment,true
217,Stool Softener,DOCUSATE SODIUM,Family Dollar (FAMILY WELLNESS),"Nondisp fx of r tibial spin, 7thM",179,"Nondisplaced fracture of right tibial spine, subsequent encounter for open fracture type I or II with nonunion",true
218,Heavy Duty Hand Cleaner,CHLOROXYLENOL,"MPI Chemicals, Inc.","Prsn brd/alit pedl cyc inj in clsn w rail trn/veh, sequela",53,"Person boarding or alighting a pedal cycle injured in collision with railway train or railway vehicle, sequela",true
219,ENALAPRIL MALEATE,ENALAPRIL MALEATE,St Marys Medical Park Pharmacy,"Open bite of left middle finger w/o damage to nail, sequela",273,"Open bite of left middle finger without damage to nail, sequela",false
220,Zicam Cold Remedy,"GALPHIMIA GLAUCA FLOWERING TOP, LUFFA OPERCULATA FRUIT, and SCHOENOCAULON OFFICINALE SEED","Matrixx Initiatives, Inc.","Panophthalmitis (acute), left eye",130,"Panophthalmitis (acute), left eye",false
221,Bisque Always Color Stay-on Broad Spectrum SPF 15,"Octinoxate, Oxybenzone, Titanium dioxide",JAFRA COSMETICS INTERNATIONAL,"Stenosis of peripheral vascular stent, subsequent encounter",142,"Stenosis of peripheral vascular stent, subsequent encounter",false
222,NP Thyroid 30,"LEVOTHYROXINE, LIOTHYRONINE","AvKARE, Inc.",Contus/lac/hem brainstem w/o loss of consciousness,83,"Contusion, laceration, and hemorrhage of brainstem without loss of consciousness",false
223,Nifedipine,nifedipine,Mylan Institutional Inc.,"Displ transverse fx shaft of r fibula, 7thF",245,"Displaced transverse fracture of shaft of right fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",false
224,Nitrogen,Nitrogen,"Coastal Welding Supply, Inc.","Partial traumatic amputation at r shoulder jt, sequela",510,"Partial traumatic amputation at right shoulder joint, sequela",true
225,Doxycycline Hyclate,Doxycycline Hyclate,"PD-Rx Pharmaceuticals, Inc.","Animl-ridr injured in clsn w animl being ridden, sequela",175,"Animal-rider injured in collision with other animal being ridden, sequela",true
226,Amantadine Hydrochloride,Amantadine Hydrochloride,Aidarex Pharmaceuticals LLC,Neonatal hematemesis,85,Neonatal hematemesis,false
227,Anti-Bacterial Hand,Alcohol,"Bath & Body Works, Inc.","Displ seg fx shaft of unsp tibia, init for opn fx type I/2",129,"Displaced segmental fracture of shaft of unspecified tibia, initial encounter for open fracture type I or II",true
228,Immune Booster,"Apis Mellifera, Baptisia Tinctoria, Silybum Marianum Seed, Herring Sperm DNA, Echinacea, Galium Aparine, Mercuric Chloride, Mercuric Sulfide, Nitric Acid, Sulfur Iodide, and Thuja Occidentalis Leafy Twig",Sunway Biotech LLC,"Incomplete lesion of L5 level of lumbar spinal cord, sequela",406,"Incomplete lesion of L5 level of lumbar spinal cord, sequela",false
229,Natural Lemon Verbena with White Tea Herb Throat Drops,Menthol,Ricola USA Inc.,Injury of right uterine vein,487,Injury of right uterine vein,true
230,QUICK AND CLEAN OIL FREE SUN,TITANIUM DIOXIDE,"THEFACESHOP CO., LTD.","Complex tear of lateral meniscus, current injury",228,"Complex tear of lateral meniscus, current injury",false
231,CLONIDINE HYDROCHLORIDE,clonidine hydrochloride,Rebel Distributors Corp,Intraop hemor/hemtom of left eye and adnexa comp oth proc,499,Intraoperative hemorrhage and hematoma of left eye and adnexa complicating other procedure,false
232,risperidone,risperidone,REMEDYREPACK INC.,Erectile dysfunction following radical prostatectomy,364,Erectile dysfunction following radical prostatectomy,false
233,Oxygen,Oxygen,Providence Home Medical Equipment,"Occ of anml-drn veh inj in trnsp acc w miltry vehicle, subs",517,"Occupant of animal-drawn vehicle injured in transport accident with military vehicle, subsequent encounter",false
234,Warfarin Sodium,Warfarin Sodium,Cardinal Health,"Animl-ridr injured by fall fr animl in nonclsn acc, init",570,"Animal-rider injured by fall from or being thrown from other animal in noncollision accident, initial encounter",false
235,Metronidazole,Metronidazole,Baxter Healthcare Corporation,"Diabetes with moderate nonp rtnop with macular edema, bi",79,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",false
236,Hydrocodone Bitartrate and Homatropine Methylbromide,Hydrocodone Bitartrate and Homatropine Methylbromide,Rebel Distributors Corp,Oth place in school dormitory as place,492,Other place in school dormitory as the place of occurrence of the external cause,false
237,Vytorin,Ezetimibe/Simvastin,Lake Erie Medical DBA Quality Care Products LLC,"Other non-follicular lymphoma, intra-abdominal lymph nodes",29,"Other non-follicular lymphoma, intra-abdominal lymph nodes",false
238,Hackberry,Hackberry,"Nelco Laboratories, Inc.","Corros unsp deg mult sites of left shldr/up lmb, ex wrs/hnd",516,"Corrosion of unspecified degree of multiple sites of left shoulder and upper limb, except wrist and hand",true
239,up and up acetaminophen,Acetaminophen,Target Corporation,"Unsp injury of peroneal artery, right leg, subs encntr",393,"Unspecified injury of peroneal artery, right leg, subsequent encounter",false
240,Vaprino A-D,LOPERAMIDE HYDROCHLORIDE,"Boehringer Ingelheim Pharmaceuticals, Inc.",Abnormal findings in other body fluids and substances,56,Abnormal findings in other body fluids and substances,true
241,Sure Conditioning Solid Pure Essence,Aluminum Zirconium Tricholorohydrex GLY,"Idelle Labs, Ltd","Laceration w fb of l idx fngr w/o damage to nail, init",32,"Laceration with foreign body of left index finger without damage to nail, initial encounter",true
242,COCHLIOBOLUS SATIVUS,HELMINTHOSPORIUM SOROKINIANUM,"ALK-Abello, Inc.",Laceration w/o fb of r mid finger w/o damage to nail,522,Laceration without foreign body of right middle finger without damage to nail,true
243,AllergyEase Hawaii,"Adenosinum cyclophosphoricum, Adrenalium, Adrenocorticotrophin, Allium cepa, Cortisone aceticum, Euphrasia officinalis, Galphimia glauca, Histaminum hydrochloricum, Juniperus virginiana, Kali muriaticum, Mucosa nasalis suis, Natrum muriaticum, RNA, Runex crisp, Sabadilla",Native Remedies,"Displ artic fx head of r femr, 7thM",294,"Displaced articular fracture of head of right femur, subsequent encounter for open fracture type I or II with nonunion",true
244,Promethazine Hydrochloride,Promethazine Hydrochloride,Qualitest Pharmaceuticals,Underdosing of chloramphenicol group,439,Underdosing of chloramphenicol group,true
245,risperidone,risperidone,Cadila Healthcare Limited,"Retinopathy of prematurity, stage 2, bilateral",389,"Retinopathy of prematurity, stage 2, bilateral",false
246,Lamotrigine,Lamotrigine,Sandoz Inc,"Stenosis due to genitourinary prosth dev/grft, init",224,"Stenosis due to genitourinary prosthetic devices, implants and grafts, initial encounter",true
247,Doxycycline Hyclate,Doxycycline Hyclate,"DAVA Pharmaceuticals, Inc.","Juvenile osteochondrosis of patella, unspecified knee",484,"Juvenile osteochondrosis of patella, unspecified knee",true
248,Mylanta Gas,Dimethicone,McNeil Consumer Pharmaceuticals Co.,"Driver of 3-whl mv inj in clsn w 2/3-whl mv nontraf, init",517,"Driver of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter",false
249,UltrasolSunscreen,"Avobenzone, Octinoxate, Octisalate, Oxybenzone",Fischer Pharmaceuticals Ltd,"Unsp mtrcy rider injured in clsn w hv veh nontraf, sequela",20,"Unspecified motorcycle rider injured in collision with heavy transport vehicle or bus in nontraffic accident, sequela",true
250,Ramipril,Ramipril,Dr. Reddy's Laboratories Limited,"Corros second degree of unsp site lower limb, except ank/ft",22,"Corrosion of second degree of unspecified site of lower limb, except ankle and foot",true
251,flormar BB Sheer Tinted Beauty Sunscreen Broad Spectrum SPF 15 02 Light Medium,OCTINOXATE,Kosan Kozmetik Sanayi ve Ticaret A.S.,Abrasion of knee,3,Abrasion of knee,false
252,DiorSkin Nude 030 Medium Beige,"TITANIUM DIOXIDE, OCTINOXATE",Parfums Christian Dior,"External constriction of unspecified forearm, subs encntr",545,"External constriction of unspecified forearm, subsequent encounter",false
253,Fenofibrate,fenofibrate,"H2-Pharma, LLC",Ebola virus disease,191,Ebola virus disease,true
254,Pain Relief PM,"Acetaminophen, Diphenhydramine HCl",SuperValu (Equaline),"Toxic effect of fusel oil, accidental (unintentional)",87,"Toxic effect of fusel oil, accidental (unintentional)",false
255,BABOR Baborganic Age Preventing Body Cream,Panthenol,"Babor Cosmetics America, Corp",Other fracture of femur,344,Other fracture of femur,true
256,Sunmark Ibuprofen IB,Ibuprofen,McKesson,"Toxic effect of gases, fumes and vapors, self-harm, sequela",520,"Toxic effect of other specified gases, fumes and vapors, intentional self-harm, sequela",false
257,Methocarbamol,Methocarbamol,Major Pharmaceuticals,Unspecified superficial injury of right wrist,9,Unspecified superficial injury of right wrist,true
258,Equaline All Day Allergy D,"Cetirizine HCl, Pseudoephedrine HCl",Supervalu Inc,Unspecified fracture of left ilium,461,Unspecified fracture of left ilium,false
259,allergy relief,fexofenadine hcl,Publix Super Markets Inc,"Contus/lac/hem brainstem w LOC of 1-5 hrs 59 min, subs",146,"Contusion, laceration, and hemorrhage of brainstem with loss of consciousness of 1 hour to 5 hours 59 minutes, subsequent encounter",false
260,flormar REBORN BB SUNSCREEN BROAD SPECTRUM SPF 30 CP07 Nude Beige,OCTINOXATE,Kosan Kozmetik Sanayi ve Ticaret A.S.,"Preterm prem ROM, onset labor within 24 hours of rupture",479,"Preterm premature rupture of membranes, onset of labor within 24 hours of rupture",true
261,dicyclomine hydrochloride,dicyclomine hydrochloride,Atlantic Biologicals Corps,"Complete traumatic amp of unsp hand at wrist level, sequela",502,"Complete traumatic amputation of unspecified hand at wrist level, sequela",true
262,Tinted Moisturizer SPF 20 Bisque,"Octinoxate ,Avobenzone","Gurwitch Products, L.L.C.",Personal history of neoplasm of uncertain behavior,374,Personal history of neoplasm of uncertain behavior,false
263,Nitroglycerin Transdermal System,Nitroglycerin,Hercon Laboratories Corporation,Filtering (vitreous) bleb after glaucoma surgery status,219,Filtering (vitreous) bleb after glaucoma surgery status,true
264,Clindamycin hydrochloride,Clindamycin hydrochloride,Aidarex Pharmaceuticals LLC,"Brown-Sequard syndrome at T7-T10, subs",518,"Brown-Sequard syndrome at T7-T10 level of thoracic spinal cord, subsequent encounter",true
265,Loxapine Succinate,Loxapine Succinate,REMEDYREPACK INC.,MELAS syndrome,230,MELAS syndrome,false
266,Severe Cold and Flu,"acetaminophen, dextromethorphan HBr, guaifenesin, phenylephrine HCl",Walgreen Company,"Other specified injuries of unspecified foot, subs encntr",504,"Other specified injuries of unspecified foot, subsequent encounter",false
267,Trifluridine,trifluridine,"Falcon Pharmaceuticals, Ltd.","Fracture of condylar process of left mandible, 7thD",441,"Fracture of condylar process of left mandible, subsequent encounter for fracture with routine healing",true
268,Desipramine Hydrochloride,Desipramine Hydrochloride,REMEDYREPACK INC.,"Fusion of spine, sacral and sacrococcygeal region",385,"Fusion of spine, sacral and sacrococcygeal region",true
269,Sprayology MenoPower,"Arnica montana, Glonoinum, Lachesis mutus, Oophorinum, Salvia officinalis, Sanguinaria canadensis, Sepia",Eight and Company,"Nondisp fx of distal phalanx of left ring finger, init",292,"Nondisplaced fracture of distal phalanx of left ring finger, initial encounter for closed fracture",true
270,Stool Softener,DOCUSATE SODIUM,"EQUATE (Walmart Stores, Inc.)","Poisoning by unsp psychotropic drug, intentional self-harm",366,"Poisoning by unspecified psychotropic drug, intentional self-harm",false
271,Pier 1 Imports Granny Smith Apple Anti-bacterial Hand Wash,Anti-bacterial Hand Wash,"Xiamen Anna Global Co., Ltd","Puncture wound without foreign body of left buttock, sequela",379,"Puncture wound without foreign body of left buttock, sequela",true
272,Loperamide Hydrochloride,loperamide hydrochloride,"Physicians Total Care, Inc.","Toxic effect of venom of arthropod, intentional self-harm",26,"Toxic effect of venom of other arthropod, intentional self-harm",false
273,Alcohol Prep Pad,ISOPROPYL ALCOHOL,Global Healthcare,"Disp fx of left tibial spine, init for clos fx",209,"Displaced fracture of left tibial spine, initial encounter for closed fracture",true
274,Amlodipine besylate/atorvastatin calcium,amlodipine besylate and atorvastatin calcium,Mylan Pharmaceuticals Inc.,"Corros 2nd deg of unsp site right low limb, ex ank/ft, init",255,"Corrosion of second degree of unspecified site of right lower limb, except ankle and foot, initial encounter",false
275,Metoprolol Tartrate,Metoprolol tartrate,Cardinal Health,"Nondisp fx of med condyle of l femr, 7thQ",28,"Nondisplaced fracture of medial condyle of left femur, subsequent encounter for open fracture type I or II with malunion",true
276,Quinapril,Quinapril Hydrochloride,Aurobindo Pharma Limited,"Unsp fracture of fourth metacarpal bone, left hand, init",532,"Unspecified fracture of fourth metacarpal bone, left hand, initial encounter for closed fracture",true
277,Benefect Natural Hand Sanitizer,Thymol,Sensible Life Products,"Laceration w/o fb of right cheek and TMJ area, sequela",474,"Laceration without foreign body of right cheek and temporomandibular area, sequela",false
278,LIFT LUMIERE,OCTINOXATE and TITANIUM DIOXIDE,CHANEL PARFUMS BEAUTE,"War op involving explosion of marine mine, civilian, init",495,"War operations involving explosion of marine mine, civilian, initial encounter",false
279,FLUOXETINE HYDROCHLORIDE,FLUOXETINE HYDROCHLORIDE,DIRECT RX,"Osteolysis, ankle and foot",429,"Osteolysis, ankle and foot",true
280,Acyclovir,Acyclovir,"MedVantx, Inc.","Burn of unspecified degree of nose (septum), subs encntr",440,"Burn of unspecified degree of nose (septum), subsequent encounter",false
281,Cyclobenzaprine Hydrochloride,Cyclobenzaprine Hydrochloride,"PD-Rx Pharmaceuticals, Inc.","Ped w convey injured pick-up truck, pk-up/van, unsp, subs",540,"Pedestrian with other conveyance injured in collision with car, pick-up truck or van, unspecified whether traffic or nontraffic accident, subsequent encounter",false
